loan_status,Principal,terms,age,Gender,dayofweek,Bechalor,High School or Below,Master or Above,college
PAIDOFF,1000,30,45,0,3,0,1,0,0
PAIDOFF,1000,30,33,1,3,1,0,0,0
PAIDOFF,1000,15,27,0,3,0,0,0,1
PAIDOFF,1000,30,28,1,4,0,0,0,1
PAIDOFF,1000,30,29,0,4,0,0,0,1
PAIDOFF,1000,30,36,0,4,0,0,0,1
PAIDOFF,1000,30,28,0,4,0,0,0,1
PAIDOFF,800,15,26,0,5,0,0,0,1
PAIDOFF,300,7,29,0,5,0,0,0,1
PAIDOFF,1000,15,39,0,5,0,1,0,0
PAIDOFF,1000,30,26,0,5,0,0,0,1
PAIDOFF,900,7,26,1,5,0,0,0,1
PAIDOFF,1000,7,27,0,5,0,1,0,0
PAIDOFF,800,15,26,0,5,0,0,0,1
PAIDOFF,1000,30,40,0,5,0,1,0,0
PAIDOFF,1000,15,32,0,5,0,1,0,0
PAIDOFF,1000,30,32,0,5,0,1,0,0
PAIDOFF,800,30,26,0,5,0,0,0,1
PAIDOFF,1000,30,26,0,5,0,0,0,1
PAIDOFF,1000,30,25,0,5,0,1,0,0
PAIDOFF,1000,15,26,0,5,0,0,0,1
PAIDOFF,1000,30,29,0,5,0,1,0,0
PAIDOFF,800,15,39,0,5,1,0,0,0
PAIDOFF,1000,15,34,0,5,1,0,0,0
PAIDOFF,1000,30,31,0,6,0,0,0,1
PAIDOFF,1000,30,33,0,6,0,0,0,1
PAIDOFF,800,15,33,0,6,0,1,0,0
PAIDOFF,1000,30,37,0,6,0,0,0,1
PAIDOFF,1000,30,27,0,6,0,0,0,1
PAIDOFF,1000,30,37,0,6,0,0,0,1
PAIDOFF,800,15,33,0,6,0,0,0,1
PAIDOFF,1000,30,27,0,6,0,1,0,0
PAIDOFF,1000,30,21,0,6,1,0,0,0
PAIDOFF,1000,15,32,1,6,0,0,0,1
PAIDOFF,800,15,30,0,6,0,0,0,1
PAIDOFF,1000,7,31,0,6,1,0,0,0
PAIDOFF,1000,15,30,0,6,0,0,0,1
PAIDOFF,1000,15,24,1,6,1,0,0,0
PAIDOFF,800,7,35,0,6,0,1,0,0
PAIDOFF,1000,30,22,0,6,0,1,0,0
PAIDOFF,1000,30,32,0,6,0,0,0,1
PAIDOFF,800,15,50,0,6,0,1,0,0
PAIDOFF,1000,30,35,1,6,1,0,0,0
PAIDOFF,800,15,35,1,6,1,0,0,0
PAIDOFF,1000,30,34,0,6,0,1,0,0
PAIDOFF,1000,30,21,0,6,0,1,0,0
PAIDOFF,1000,15,25,0,6,0,0,0,1
PAIDOFF,1000,30,27,0,6,0,1,0,0
PAIDOFF,1000,30,26,0,6,1,0,0,0
PAIDOFF,800,15,44,1,6,0,1,0,0
PAIDOFF,800,15,39,0,6,0,0,1,0
PAIDOFF,1000,30,34,0,6,1,0,0,0
PAIDOFF,1000,30,34,0,6,0,1,0,0
PAIDOFF,1000,30,45,0,6,0,0,0,1
PAIDOFF,900,15,28,0,6,0,0,0,1
PAIDOFF,1000,30,28,0,6,1,0,0,0
PAIDOFF,1000,30,37,0,6,0,1,0,0
PAIDOFF,1000,30,43,0,6,1,0,0,0
PAIDOFF,800,15,29,0,6,0,0,0,1
PAIDOFF,800,15,29,0,6,0,1,0,0
PAIDOFF,1000,30,33,1,6,1,0,0,0
PAIDOFF,1000,15,34,0,6,0,0,0,1
PAIDOFF,1000,15,25,0,6,0,0,0,1
PAIDOFF,1000,30,30,0,6,0,1,0,0
PAIDOFF,1000,30,35,0,6,0,0,0,1
PAIDOFF,1000,30,44,1,6,0,1,0,0
PAIDOFF,1000,30,28,0,6,0,1,0,0
PAIDOFF,1000,7,25,0,6,0,0,0,1
PAIDOFF,1000,15,29,0,6,0,0,0,1
PAIDOFF,800,15,33,0,6,0,0,0,1
PAIDOFF,1000,30,24,1,6,0,1,0,0
PAIDOFF,1000,30,27,1,6,0,0,0,1
PAIDOFF,800,15,46,1,6,0,1,0,0
PAIDOFF,800,15,34,1,6,0,0,0,1
PAIDOFF,800,15,38,0,6,0,1,0,0
PAIDOFF,800,15,27,0,6,0,1,0,0
PAIDOFF,1000,30,33,0,6,0,1,0,0
PAIDOFF,1000,30,36,0,6,0,0,0,1
PAIDOFF,1000,30,34,0,6,0,0,0,1
PAIDOFF,1000,30,22,0,6,0,1,0,0
PAIDOFF,1000,30,31,1,6,1,0,0,0
PAIDOFF,800,15,38,0,6,0,0,0,1
PAIDOFF,1000,30,30,0,6,0,0,0,1
PAIDOFF,1000,15,45,0,6,0,1,0,0
PAIDOFF,1000,15,35,0,6,0,0,0,1
PAIDOFF,1000,30,31,0,6,0,1,0,0
PAIDOFF,1000,30,31,0,6,0,1,0,0
PAIDOFF,1000,30,28,0,6,0,0,0,1
PAIDOFF,1000,7,29,0,6,0,0,0,1
PAIDOFF,800,15,29,0,6,0,0,0,1
PAIDOFF,1000,30,27,1,6,0,0,0,1
PAIDOFF,1000,30,27,0,6,0,0,0,1
PAIDOFF,1000,30,33,0,6,0,0,0,1
PAIDOFF,1000,30,28,0,6,0,0,0,1
PAIDOFF,1000,15,25,0,6,0,1,0,0
PAIDOFF,1000,30,40,0,6,0,0,0,1
PAIDOFF,1000,30,23,0,6,0,1,0,0
PAIDOFF,1000,30,35,0,6,1,0,0,0
PAIDOFF,800,15,24,0,6,0,0,0,1
PAIDOFF,1000,30,34,0,6,0,0,0,1
PAIDOFF,1000,30,22,0,6,0,1,0,0
PAIDOFF,1000,15,20,0,6,0,0,0,1
PAIDOFF,1000,15,23,0,6,0,0,0,1
PAIDOFF,1000,30,33,0,6,0,0,0,1
PAIDOFF,1000,30,26,0,6,0,0,0,1
PAIDOFF,1000,15,28,0,6,0,1,0,0
PAIDOFF,800,15,43,0,6,0,1,0,0
PAIDOFF,1000,15,34,0,6,1,0,0,0
PAIDOFF,1000,30,38,0,6,1,0,0,0
PAIDOFF,1000,15,26,0,6,0,1,0,0
PAIDOFF,800,15,43,0,6,0,1,0,0
PAIDOFF,1000,30,26,0,6,0,1,0,0
PAIDOFF,1000,30,33,1,6,0,0,0,1
PAIDOFF,800,15,24,0,6,0,0,0,1
PAIDOFF,1000,30,30,0,6,0,1,0,0
PAIDOFF,800,15,32,1,6,0,1,0,0
PAIDOFF,1000,15,22,0,6,0,0,0,1
PAIDOFF,1000,15,47,0,6,0,1,0,0
PAIDOFF,1000,30,20,0,6,0,1,0,0
PAIDOFF,1000,30,28,0,6,0,1,0,0
PAIDOFF,800,15,35,0,6,0,0,0,1
PAIDOFF,800,15,33,1,6,0,0,0,1
PAIDOFF,1000,30,30,0,6,0,1,0,0
PAIDOFF,1000,15,31,0,6,0,0,0,1
PAIDOFF,1000,30,26,1,6,0,0,0,1
PAIDOFF,1000,15,26,0,0,1,0,0,0
